project_id,year,revenue_vnd,opex_vnd,depreciation_vnd,taxable_income_vnd,tax_loss_opening_vnd,tax_loss_closing_vnd,tax_vnd,working_capital_vnd,delta_working_capital_vnd,capex_vnd,capex_net_vnd,vat_paid_vnd,construction_capex_vnd,idc_vnd,major_maintenance_vnd,terminal_value_vnd,terminal_release_vnd,terminal_branch,cfads_vnd,sources_vnd,uses_vnd,sources_uses_balance_vnd
VG-009,11,4403885328.01628,594259779.7474442,1755122285.3535352,2054503262.9153008,0.0,0.0,410900652.5830602,361963177.6451737,1782892.4119046926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ZERO_RESIDUAL_NO_SALE,3396942003.273871,0.0,0.0,0.0
VG-009,12,4425684560.38996,606144975.342393,1755122285.3535352,2064417299.6940322,0.0,0.0,412883459.9388065,363754895.37451726,1791717.7293435335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ZERO_RESIDUAL_NO_SALE,3404864407.3794174,0.0,0.0,0.0
VG-009,13,4447591698.96389,618267874.8492409,1755122285.3535352,2074201538.7611141,0.0,0.0,414840307.75222284,365555482.1066211,1800586.7321038246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ZERO_RESIDUAL_NO_SALE,3412682929.6303225,0.0,0.0,0.0
VG-009,14,4469607277.873763,630633232.3462259,1755122285.3535352,2083851760.1740022,0.0,0.0,416770352.03480047,367364981.743049,1809499.636427939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ZERO_RESIDUAL_NO_SALE,3420394193.856309,0.0,0.0,0.0
VG-009,15,4491731833.899238,643245896.9931502,1755122285.3535352,2093363651.5525522,0.0,0.0,418672730.31051046,0.0,-367364981.743049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367364981.743049,ZERO_RESIDUAL_NO_SALE,3797178188.338626,0.0,0.0,0.0
VG-010,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28838197916.666668,26326834280.30303,2511363636.3636394,27625000000.0,1213197916.6666665,0.0,0.0,0.0,ZERO_RESIDUAL_NO_SALE,0.0,28838197916.666668,28838197916.666668,0.0
VG-010,1,4038604960.000001,487500000.0,1755122285.3535352,1795982674.6464658,0.0,0.0,359196534.92929316,331940133.6986302,331940133.6986302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ZERO_RESIDUAL_NO_SALE,2859968291.3720775,0.0,0.0,0.0
VG-010,2,4058596054.552001,497250000.0,1755122285.3535352,1806223769.1984658,0.0,0.0,361244753.8396932,333583237.3604384,1643103.6618081927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ZERO_RESIDUAL_NO_SALE,3198458197.0505,0.0,0.0,0.0
VG-010,3,4078686105.0220337,507195000.0,1755122285.3535352,1816368819.6684985,0.0,0.0,363273763.9336997,335234474.38537264,1651237.0249342322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ZERO_RESIDUAL_NO_SALE,3206566104.0634,0.0,0.0,0.0
VG-010,4,4098875601.241893,517338900.00000006,1755122285.3535352,1826414415.8883576,0.0,0.0,365282883.17767155,336893885.03358024,1659410.648207605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ZERO_RESIDUAL_NO_SALE,3214594407.4160137,0.0,0.0,0.0
VG-010,5,4119165035.4680395,527685678.0,1755122285.3535352,1836357072.1145043,0.0,0.0,367271414.4229009,338561509.7644964,1667624.7309161425,0.0,0.0,0.0,0.0,0.0,131634171.40151514,0.0,0.0,ZERO_RESIDUAL_NO_SALE,3090906146.9127073,0.0,0.0,0.0
VG-010,6,4139554902.393607,538239391.5600001,1755122285.3535352,1846193225.480072,0.0,0.0,369238645.09601444,340237389.2378307,1675879.4733343124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ZERO_RESIDUAL_NO_SALE,3230400986.2642584,0.0,0.0,0.0
VG-010,7,4160045699.1604557,549004179.3912001,1755122285.3535352,1855919234.4157205,0.0,0.0,371183846.88314414,341921564.314558,1684175.0767273307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ZERO_RESIDUAL_NO_SALE,3238173497.809384,0.0,0.0,0.0
VG-010,8,4180637925.371299,559984262.979024,1755122285.3535352,1865531377.0387397,0.0,0.0,373106275.407748,343614076.057915,1692511.7433569431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ZERO_RESIDUAL_NO_SALE,3245854875.24117,0.0,0.0,0.0
VG-010,9,4201332083.101887,571183948.2386045,1755122285.3535352,1875025849.5097475,0.0,0.0,375005169.9019495,345314965.73440164,1700889.676486671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ZERO_RESIDUAL_NO_SALE,3253442075.284847,0.0,0.0,0.0
VG-010,10,4222128676.913241,582607627.2033767,1755122285.3535352,1884398764.356329,0.0,0.0,376879752.8712658,347024274.8147869,1709309.0803852677,0.0,0.0,0.0,0.0,0.0,131634171.40151514,0.0,0.0,ZERO_RESIDUAL_NO_SALE,3129297816.356698,0.0,0.0,0.0
VG-010,11,4243028213.8639617,594259779.7474442,1755122285.3535352,1893646148.7629824,0.0,0.0,378729229.7525965,348742044.9751201,1717770.1603332162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ZERO_RESIDUAL_NO_SALE,3268321434.203588,0.0,0.0,0.0
VG-010,12,4264031203.522588,606144975.342393,1755122285.3535352,1902763942.8266597,0.0,0.0,380552788.56533194,350468318.0977469,1726273.1226267815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ZERO_RESIDUAL_NO_SALE,3275607166.492236,0.0,0.0,0.0
VG-010,13,4285138157.980025,618267874.8492409,1755122285.3535352,1911747997.7772489,0.0,0.0,382349599.5554498,352203136.2723308,1734818.174583912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ZERO_RESIDUAL_NO_SALE,3282785865.40075,0.0,0.0,0.0
VG-010,14,4306349591.862027,630633232.3462259,1755122285.3535352,1920594074.1622663,0.0,0.0,384118814.83245325,353946541.79687893,1743405.5245481133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ZERO_RESIDUAL_NO_SALE,3289854139.1588,0.0,0.0,0.0
VG-010,15,4327666022.341744,643245896.9931502,1755122285.3535352,1929297839.995059,0.0,0.0,385859567.9990118,0.0,-353946541.79687893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353946541.79687893,ZERO_RESIDUAL_NO_SALE,3652507099.146461,0.0,0.0,0.0
VG-011,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26619875000.0,24301693181.81818,2318181818.181821,25500000000.0,1119875000.0,0.0,0.0,0.0,ZERO_RESIDUAL_NO_SALE,0.0,26619875000.0,26619875000.0,0.0
VG-011,1,3768464160.0000005,450000000.0,1620112878.7878788,1698351281.2121217,0.0,0.0,339670256.24242437,309736780.27397263,309736780.27397263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ZERO_RESIDUAL_NO_SALE,2669057123.4836035,0.0,0.0,0.0
VG-011,2,3787118057.5920005,459000000.0,1620112878.7878788,1708005178.8041217,0.0,0.0,341601035.7608244,311269977.3363288,1533197.062356174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ZERO_RESIDUAL_NO_SALE,2984983824.7688203,0.0,0.0,0.0
VG-011,3,3805864291.9770813,468180000.0,1620112878.7878788,1717571413.1892025,0.0,0.0,343514282.6378405,312810763.7241437,1540786.3878148794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ZERO_RESIDUAL_NO_SALE,2992629222.951426,0.0,0.0,0.0
VG-011,4,3824703320.222368,477543600.00000006,1620112878.7878788,1727046841.434489,0.0,0.0,345409368.28689784,314359177.0045782,1548413.2804344893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ZERO_RESIDUAL_NO_SALE,3000201938.6550355,0.0,0.0,0.0
VG-011,5,3843635601.657468,487094472.0,1620112878.7878788,1736428250.869589,0.0,0.0,347285650.17391783,315915254.9307508,1556077.926172614,0.0,0.0,0.0,0.0,0.0,121508465.9090909,0.0,0.0,ZERO_RESIDUAL_NO_SALE,2886190935.6482863,0.0,0.0,0.0
VG-011,6,3862661597.8856726,496836361.44,1620112878.7878788,1745712357.6577938,0.0,0.0,349142471.53155875,317479035.442658,1563780.51190722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ZERO_RESIDUAL_NO_SALE,3015118984.402207,0.0,0.0,0.0
VG-011,7,3881781772.795207,506773088.66880006,1620112878.7878788,1754895805.3385284,0.0,0.0,350979161.0677057,319050556.6680992,1571521.2254412174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ZERO_RESIDUAL_NO_SALE,3022458001.8332605,0.0,0.0,0.0
VG-011,8,3900996592.5705433,516908550.44217604,1620112878.7878788,1763975163.3404887,0.0,0.0,352795032.66809773,320629856.92360634,1579300.2555071115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ZERO_RESIDUAL_NO_SALE,3029713709.204763,0.0,0.0,0.0
VG-011,9,3920306525.7037673,527246721.4510196,1620112878.7878788,1772946925.4648688,0.0,0.0,354589385.09297377,322216974.71537817,1587117.7917718291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ZERO_RESIDUAL_NO_SALE,3036883301.368002,0.0,0.0,0.0
VG-011,10,3939712043.0060005,537791655.8800399,1620112878.7878788,1781807508.3380816,0.0,0.0,356361501.66761637,323811948.74021924,1594974.0248410702,0.0,0.0,0.0,0.0,0.0,121508465.9090909,0.0,0.0,ZERO_RESIDUAL_NO_SALE,2922455445.524412,0.0,0.0,0.0
VG-011,11,3959213617.6188807,548547488.9976408,1620112878.7878788,1790553249.833361,0.0,0.0,358110649.9666722,325414817.8864834,1602869.1462641358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ZERO_RESIDUAL_NO_SALE,3050952609.5083036,0.0,0.0,0.0
VG-011,12,3978811725.0260935,559518438.7775936,1620112878.7878788,1799180407.460621,0.0,0.0,359836081.49212426,327025621.2350214,1610803.348538041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ZERO_RESIDUAL_NO_SALE,3057846401.407838,0.0,0.0,0.0
VG-011,13,3998506843.064973,570708807.5531455,1620112878.7878788,1807685156.7239487,0.0,0.0,361537031.34478974,328644398.06013477,1618776.825113356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ZERO_RESIDUAL_NO_SALE,3064642227.3419247,0.0,0.0,0.0
VG-011,14,4018299451.938145,582122983.7042085,1620112878.7878788,1816063589.446058,0.0,0.0,363212717.88921165,330271187.83053243,1626789.7703976631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ZERO_RESIDUAL_NO_SALE,3071336960.5743275,0.0,0.0,0.0
VG-011,15,4038190034.2252393,593765443.3782926,1620112878.7878788,1824311712.059068,0.0,0.0,364862342.4118136,0.0,-330271187.83053243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330271187.83053243,ZERO_RESIDUAL_NO_SALE,3409833436.2656655,0.0,0.0,0.0
VG-012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25510713541.666668,23289122632.575756,2221590909.090911,24437500000.0,1073213541.6666666,0.0,0.0,0.0,ZERO_RESIDUAL_NO_SALE,0.0,25510713541.666668,25510713541.666668,0.0
