project_id,year,cfads_vnd,debt_service_vnd,dsra_opening_vnd,dsra_funding_vnd,cash_trap_vnd,distribution_vnd,dsra_release_vnd,dsra_closing_vnd,terminal_value_vnd,terminal_branch,waterfall_status
VG-004,10,3232616243.1678877,1105292063.5069509,1141781770.336931,0.0,0.0,2127324179.6609368,0.0,1141781770.336931,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-004,11,3386405163.4185605,0.0,1141781770.336931,0.0,0.0,3386405163.4185605,0.0,1141781770.336931,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-004,12,3393249357.227132,0.0,1141781770.336931,0.0,0.0,3393249357.227132,0.0,1141781770.336931,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-004,13,3399967820.7606745,0.0,1141781770.336931,0.0,0.0,3399967820.7606745,0.0,1141781770.336931,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-004,14,3406556739.473637,0.0,1141781770.336931,0.0,0.0,3406556739.473637,0.0,1141781770.336931,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-004,15,3782595636.5543103,0.0,1141781770.336931,0.0,0.0,3782595636.5543103,1141781770.336931,0.0,0.0,ZERO_RESIDUAL_NO_SALE,RELEASE
VG-005,1,2813669753.401412,2164361348.770317,0.0,1082180674.3851585,0.0,649308404.6310949,0.0,1082180674.3851585,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-005,2,3146870985.286913,2420669988.6822405,1082180674.3851585,0.0,0.0,726200996.6046724,0.0,1082180674.3851585,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-005,3,3155317724.914084,2427167480.703141,1082180674.3851585,0.0,0.0,728150244.2109427,0.0,1082180674.3851585,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-005,4,3163695748.702409,2433612114.3864684,1082180674.3851585,0.0,0.0,730083634.3159404,0.0,1082180674.3851585,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-005,5,3050494040.0553946,2346533876.965688,1082180674.3851585,0.0,0.0,703960163.0897064,0.0,1082180674.3851585,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-005,6,3180235389.17613,2446334914.750869,1082180674.3851585,0.0,0.0,733900474.425261,0.0,1082180674.3851585,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-005,7,3188391732.810814,2452609025.2390876,1082180674.3851585,0.0,0.0,735782707.5717263,0.0,1082180674.3851585,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-005,8,3196468812.1506553,2458822163.1928115,1082180674.3851585,0.0,0.0,737646648.9578438,0.0,1082180674.3851585,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-005,9,3204463842.073477,2464972186.2103667,1082180674.3851585,0.0,0.0,739491655.8631101,0.0,1082180674.3851585,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-005,10,3090865509.9063787,1065582404.0132053,1082180674.3851585,0.0,0.0,2025283105.8931735,0.0,1082180674.3851585,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-005,11,3220196303.708961,0.0,1082180674.3851585,0.0,0.0,3220196303.708961,0.0,1082180674.3851585,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-005,12,3227927851.8947887,0.0,1082180674.3851585,0.0,0.0,3227927851.8947887,0.0,1082180674.3851585,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-005,13,3235565581.0087857,0.0,1082180674.3851585,0.0,0.0,3235565581.0087857,0.0,1082180674.3851585,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-005,14,3243106384.84184,0.0,1082180674.3851585,0.0,0.0,3243106384.84184,0.0,1082180674.3851585,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-005,15,3600196997.521063,0.0,1082180674.3851585,0.0,0.0,3600196997.521063,1082180674.3851585,0.0,0.0,ZERO_RESIDUAL_NO_SALE,RELEASE
VG-006,1,2631777380.360316,2024444138.7387044,0.0,1012222069.3693522,0.0,607333241.6216114,0.0,1012222069.3693522,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-006,2,2943250874.0403595,2264039133.8771996,1012222069.3693522,0.0,0.0,679211740.1631598,0.0,1012222069.3693522,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-006,3,2950689694.11686,2269761303.1668153,1012222069.3693522,0.0,0.0,680928390.9500446,0.0,1012222069.3693522,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-006,4,2958054809.1527386,2275426776.2713375,1012222069.3693522,0.0,0.0,682628032.8814011,0.0,1012222069.3693522,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-006,5,2843835177.8549533,2187565521.426887,1012222069.3693522,0.0,0.0,656269656.4280663,0.0,1012222069.3693522,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-006,6,2972553565.6077957,2286579665.8521504,1012222069.3693522,0.0,0.0,685973899.7556453,0.0,1012222069.3693522,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-006,7,2979681884.2158175,2292062987.858321,1012222069.3693522,0.0,0.0,687618896.3574963,0.0,1012222069.3693522,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-006,8,2986725849.805113,2297481422.9270096,1012222069.3693522,0.0,0.0,689244426.8781033,0.0,1012222069.3693522,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-006,9,2993682652.064324,2302832809.280249,1012222069.3693522,0.0,0.0,690849842.7840748,0.0,1012222069.3693522,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-006,10,2879040953.0066814,988691993.6310099,1012222069.3693522,0.0,0.0,1890348959.3756714,0.0,1012222069.3693522,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-006,11,3007323215.2526093,0.0,1012222069.3693522,0.0,0.0,3007323215.2526093,0.0,1012222069.3693522,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-006,12,3014001041.650578,0.0,1012222069.3693522,0.0,0.0,3014001041.650578,0.0,1012222069.3693522,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-006,13,3020579833.0538664,0.0,1012222069.3693522,0.0,0.0,3020579833.0538664,0.0,1012222069.3693522,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-006,14,3027056457.4345436,0.0,1012222069.3693522,0.0,0.0,3027056457.4345436,0.0,1012222069.3693522,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-006,15,3360759543.704076,0.0,1012222069.3693522,0.0,0.0,3360759543.704076,1012222069.3693522,0.0,0.0,ZERO_RESIDUAL_NO_SALE,RELEASE
VG-007,1,2916775518.988515,2243673476.1450114,0.0,1121836738.0725057,0.0,673102042.8435035,0.0,1121836738.0725057,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-007,2,3262051264.8272004,2509270203.713231,1121836738.0725057,0.0,0.0,752781061.1139693,0.0,1121836738.0725057,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
